Year,Month,New Clients,Food Stamps,BA Index,Bankrup.,Permits Issued,Dummy 2,Dummy 3,Dummy 4,Dummy 5,Dummy 6,Dummy 7,Dummy 8,Dummy 9,Dummy 10,Dummy 11,Dummy 12
1985,Jan,182.00,,110.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1985,Feb,136.00,,108.00,,,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1985,Mar,99.00,,105.00,,,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1985,Apr,77.00,,104.00,,,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1985,May,75.00,,104.00,,,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1985,Jun,63.00,,102.00,,,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
1985,Jul,87.00,,103.00,,,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
1985,Aug,73.00,,101.00,,,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
1985,Sep,83.00,,102.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00
1985,Oct,82.00,,102.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00
1985,Nov,74.00,,99.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00
1985,Dec,75.00,,99.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
1986,Jan,102.00,,102.00,160.00,49.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1986,Feb,121.00,,105.00,170.00,60.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1986,Mar,128.00,,106.00,140.00,149.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1986,Apr,128.00,,107.00,173.00,214.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
